index,word,idf
982,km,6.076423034634259
983,knew,4.594818493710044
984,know,2.744218524459055
985,knowledge,4.427764409046877
986,known,3.2670203392717614
987,la,4.55036673113921
988,lab,4.5078071167204135
989,laboratory,4.3900240810640305
990,labour,3.7346172284869317
991,lack,4.466985122200159
992,land,4.159500422452197
993,lander,6.58724865840025
994,landing,4.690128673514368
995,language,4.466985122200159
996,laptop,5.739950798013046
997,large,3.2914117923959205
998,largely,4.318565117081885
999,larger,4.7414219679019185
1000,largest,4.318565117081885
1001,laser,5.383275854074314
1002,last,2.3435266951035483
1003,late,3.642809679233809
1004,later,3.1008934683977873
1005,latest,3.996981492954423
1006,launch,3.7738379416402132
1007,launched,3.8791984572980396
1008,law,3.7940406489577327
1009,lawsuit,5.6064194053885235
1010,lawyer,4.55036673113921
1011,lay,4.913272224828578
1012,lead,3.7346172284869317
1013,leader,3.4373657050190003
1014,leadership,4.7414219679019185
1015,leading,3.8357133453583008
1016,learn,4.074943034424135
1017,learned,4.795489189172194
1018,least,3.3164130946013377
1019,leave,4.641338509344936
1020,led,3.5269778637086873
1021,left,3.4962062050419336
1022,legal,4.220125044268633
1023,length,4.977810745966149
1024,less,3.3291521203787675
1025,let,3.4373657050190003
1026,letter,4.795489189172194
1027,level,3.208524132590153
1028,lib,5.046803617453101
1029,liberal,4.318565117081885
1030,library,4.795489189172194
1031,life,3.208524132590153
1032,lift,5.046803617453101
1033,light,4.130512885578946
1034,like,2.4128613885046124
1035,likely,3.409194828052304
1036,limit,4.2518737425832125
1037,limited,4.5078071167204135
1038,line,3.409194828052304
1039,link,4.7414219679019185
